engine_no,LAST(recordings.time_in_cycles),LAST(recordings.operational_setting_1),LAST(recordings.operational_setting_2),LAST(recordings.operational_setting_3),LAST(recordings.sensor_measurement_1),LAST(recordings.sensor_measurement_2),LAST(recordings.sensor_measurement_3),LAST(recordings.sensor_measurement_4),LAST(recordings.sensor_measurement_5),LAST(recordings.sensor_measurement_6),LAST(recordings.sensor_measurement_7),LAST(recordings.sensor_measurement_8),LAST(recordings.sensor_measurement_9),LAST(recordings.sensor_measurement_10),LAST(recordings.sensor_measurement_11),LAST(recordings.sensor_measurement_12),LAST(recordings.sensor_measurement_13),LAST(recordings.sensor_measurement_14),LAST(recordings.sensor_measurement_15),LAST(recordings.sensor_measurement_16),LAST(recordings.sensor_measurement_17),LAST(recordings.sensor_measurement_18),LAST(recordings.sensor_measurement_19),LAST(recordings.sensor_measurement_20),LAST(recordings.sensor_measurement_21),MAX(recordings.operational_setting_1),MAX(recordings.operational_setting_2),MAX(recordings.operational_setting_3),MAX(recordings.sensor_measurement_1),MAX(recordings.sensor_measurement_2),MAX(recordings.sensor_measurement_3),MAX(recordings.sensor_measurement_4),MAX(recordings.sensor_measurement_5),MAX(recordings.sensor_measurement_6),MAX(recordings.sensor_measurement_7),MAX(recordings.sensor_measurement_8),MAX(recordings.sensor_measurement_9),MAX(recordings.sensor_measurement_10),MAX(recordings.sensor_measurement_11),MAX(recordings.sensor_measurement_12),MAX(recordings.sensor_measurement_13),MAX(recordings.sensor_measurement_14),MAX(recordings.sensor_measurement_15),MAX(recordings.sensor_measurement_16),MAX(recordings.sensor_measurement_17),MAX(recordings.sensor_measurement_18),MAX(recordings.sensor_measurement_19),MAX(recordings.sensor_measurement_20),MAX(recordings.sensor_measurement_21),MIN(recordings.operational_setting_1),MIN(recordings.operational_setting_2),MIN(recordings.operational_setting_3),MIN(recordings.sensor_measurement_1),MIN(recordings.sensor_measurement_2),MIN(recordings.sensor_measurement_3),MIN(recordings.sensor_measurement_4),MIN(recordings.sensor_measurement_5),MIN(recordings.sensor_measurement_6),MIN(recordings.sensor_measurement_7),MIN(recordings.sensor_measurement_8),MIN(recordings.sensor_measurement_9),MIN(recordings.sensor_measurement_10),MIN(recordings.sensor_measurement_11),MIN(recordings.sensor_measurement_12),MIN(recordings.sensor_measurement_13),MIN(recordings.sensor_measurement_14),MIN(recordings.sensor_measurement_15),MIN(recordings.sensor_measurement_16),MIN(recordings.sensor_measurement_17),MIN(recordings.sensor_measurement_18),MIN(recordings.sensor_measurement_19),MIN(recordings.sensor_measurement_20),MIN(recordings.sensor_measurement_21),RUL
22,202,42.006,0.84,100.0,445.0,550.06,1368.95,1140.87,3.91,5.72,138.74,2213.37,8417.89,1.03,42.6,130.86,2389.5,8163.96,9.3952,0.02,332,2212,100.0,10.59,6.2938,42.0074,0.842,100.0,518.67,643.21,1599.5,1423.04,14.62,21.61,554.86,2388.15,9148.14,1.3,47.83,522.31,2389.5,8215.59,10.9888,0.03,397,2388,100.0,39.2,23.4855,0.0002,0.0,60.0,445.0,535.96,1250.96,1035.17,3.91,5.71,137.54,1915.31,8005.73,0.94,36.44,130.16,2028.2,7871.24,8.3813,0.02,304,1915,84.93,10.43,6.2684,9
23,142,9.9998,0.25,100.0,489.05,604.58,1490.3,1299.74,10.52,15.49,394.3,2318.9,8780.8,1.26,45.3,372.14,2388.13,8136.26,8.6271,0.03,369,2319,100.0,28.82,17.1703,42.0079,0.8417,100.0,518.67,642.57,1593.23,1412.16,14.62,21.61,555.09,2388.11,9067.29,1.3,47.51,522.7,2388.21,8147.98,10.9139,0.03,395,2388,100.0,39.23,23.4607,0.0,0.0,60.0,445.0,535.99,1249.89,1032.79,3.91,5.71,138.17,1915.37,8006.53,0.94,36.4,130.24,2028.28,7873.89,8.3734,0.02,305,1915,84.93,10.44,6.2793,138
24,182,10.0023,0.2518,100.0,489.05,606.01,1512.62,1339.76,10.52,15.5,392.98,2319.18,8758.93,1.26,46.12,370.38,2388.44,8109.48,8.7412,0.03,372,2319,100.0,28.35,16.8523,42.008,0.8419,100.0,518.67,643.45,1598.85,1424.78,14.62,21.61,554.53,2388.27,9065.65,1.3,48.02,522.54,2388.44,8148.11,11.0165,0.03,395,2388,100.0,39.04,23.4665,0.0001,0.0,60.0,445.0,536.19,1251.98,1041.48,3.91,5.71,137.61,1915.05,7995.3,0.94,36.55,129.68,2027.99,7861.87,8.391,0.02,305,1915,84.93,10.32,6.2163,4
25,83,42.0045,0.8414,100.0,445.0,549.72,1341.25,1122.79,3.91,5.72,138.43,2211.94,8317.51,1.02,42.28,130.54,2387.99,8083.68,9.3267,0.02,331,2212,100.0,10.51,6.4638,42.0079,0.842,100.0,518.67,642.95,1596.31,1412.08,14.62,21.61,554.41,2388.12,9064.96,1.3,47.68,522.13,2388.18,8139.77,10.9157,0.03,394,2388,100.0,39.01,23.4451,0.0004,0.0,60.0,445.0,536.3,1253.15,1043.05,3.91,5.71,138.05,1915.25,8002.16,0.94,36.47,130.03,2028.14,7865.56,8.401,0.02,304,1915,84.93,10.51,6.2984,67
26,41,35.008,0.84,100.0,449.44,555.36,1375.91,1127.19,5.48,8.0,195.04,2223.0,8361.48,1.02,41.76,183.55,2388.15,8066.84,9.3088,0.02,333,2223,100.0,14.88,8.8511,42.0074,0.8418,100.0,518.67,642.62,1597.96,1408.3,14.62,21.61,554.07,2388.07,9064.46,1.3,47.51,522.11,2388.17,8147.09,10.9247,0.03,392,2388,100.0,39.0,23.4318,0.0018,0.0,60.0,445.0,536.6,1253.84,1045.02,3.91,5.71,138.04,1915.36,8009.56,0.94,36.6,130.22,2028.29,7873.11,8.4152,0.02,306,1915,84.93,10.5,6.2685,256
27,126,0.0004,0.0017,100.0,518.67,643.42,1599.04,1416.61,14.62,21.61,552.56,2388.18,9047.93,1.3,48.03,520.51,2388.2,8133.23,8.4367,0.03,396,2388,100.0,38.57,23.2468,42.0079,0.8419,100.0,518.67,643.65,1599.04,1420.34,14.62,21.61,554.05,2388.24,9058.07,1.3,48.03,521.47,2388.29,8135.65,10.9741,0.03,396,2388,100.0,38.99,23.3885,0.0003,0.0,60.0,445.0,536.39,1249.0,1048.4,3.91,5.71,138.0,1915.15,7998.58,0.94,36.71,129.61,2027.98,7859.92,8.4139,0.02,306,1915,84.93,10.39,6.2177,37
28,18,20.0012,0.7,100.0,491.19,606.62,1484.96,1240.48,9.35,13.65,335.04,2323.92,8721.52,1.08,44.01,315.25,2388.0,8059.44,9.1746,0.02,365,2324,100.0,24.74,14.6479,42.0056,0.8417,100.0,518.67,642.28,1587.86,1400.67,14.62,21.61,554.45,2388.03,9060.33,1.3,47.27,522.86,2388.13,8142.25,10.8311,0.03,393,2388,100.0,39.19,23.4637,0.0016,0.0,60.0,445.0,536.79,1258.35,1036.21,3.91,5.71,138.49,1915.34,8009.99,0.94,36.48,130.67,2028.27,7877.87,8.3639,0.02,304,1915,84.93,10.44,6.4322,184
29,142,10.0065,0.2503,100.0,489.05,604.4,1497.26,1317.0,10.52,15.5,393.97,2319.01,8766.96,1.26,45.72,370.88,2388.17,8120.48,8.6798,0.03,371,2319,100.0,28.55,17.11,42.008,0.842,100.0,518.67,643.66,1596.85,1415.99,14.62,21.61,553.58,2388.2,9058.39,1.3,47.76,521.71,2388.24,8130.58,10.9595,0.03,395,2388,100.0,39.02,23.417,0.0004,0.0,60.0,445.0,536.56,1253.93,1044.26,3.91,5.71,137.67,1915.11,7999.15,0.94,36.62,129.69,2027.99,7862.62,8.3958,0.02,307,1915,84.93,10.34,6.2495,105
30,297,41.9985,0.8405,100.0,445.0,550.61,1371.11,1147.59,3.91,5.72,139.22,2213.86,8447.16,1.03,42.56,130.99,2390.06,8196.51,9.3713,0.02,333,2212,100.0,10.53,6.3525,42.0078,0.842,100.0,518.67,643.9,1606.08,1428.81,14.62,21.61,555.34,2388.19,9179.67,1.3,47.85,522.93,2390.16,8243.76,10.9872,0.03,397,2388,100.0,39.29,23.4795,0.0001,0.0,60.0,445.0,535.97,1250.27,1033.04,3.91,5.71,137.98,1915.34,8003.97,0.94,36.33,130.13,2028.2,7868.83,8.3654,0.02,304,1915,84.93,10.29,6.2206,0
31,65,42.0034,0.84,100.0,445.0,549.75,1356.58,1128.28,3.91,5.72,139.58,2211.82,8317.21,1.02,41.98,130.87,2387.9,8081.96,9.3714,0.02,330,2212,100.0,10.46,6.4524,42.0079,0.842,100.0,518.67,642.64,1592.71,1412.81,14.62,21.61,554.56,2388.09,9061.04,1.3,47.54,522.08,2388.14,8137.12,10.9119,0.03,393,2388,100.0,39.05,23.3848,0.0006,0.0,60.0,445.0,536.47,1251.72,1040.54,3.91,5.71,138.07,1915.24,8004.8,0.94,36.61,130.14,2028.14,7868.12,8.3935,0.02,305,1915,84.93,10.35,6.2376,198
32,114,42.0014,0.8407,100.0,445.0,549.45,1354.06,1122.96,3.91,5.72,139.01,2212.03,8330.89,1.02,42.21,130.81,2388.13,8094.63,9.3861,0.02,331,2212,100.0,10.63,6.2883,42.0074,0.842,100.0,518.67,643.09,1596.03,1408.79,14.62,21.61,554.56,2388.11,9065.44,1.3,47.54,522.33,2388.21,8146.76,10.9252,0.03,394,2388,100.0,39.01,23.4496,0.0001,0.0,60.0,445.0,536.31,1256.67,1040.1,3.91,5.71,138.03,1915.35,8009.61,0.94,36.47,129.91,2028.22,7868.87,8.3831,0.02,306,1915,84.93,10.42,6.2491,105
33,74,10.0005,0.25,100.0,489.05,604.52,1499.42,1305.17,10.52,15.49,395.33,2318.93,8788.54,1.26,45.57,371.84,2388.1,8139.42,8.6385,0.03,369,2319,100.0,28.5,17.1973,42.0075,0.8418,100.0,518.67,642.66,1595.81,1414.56,14.62,21.61,554.36,2388.12,9070.47,1.3,47.48,522.34,2388.24,8149.63,10.9363,0.03,394,2388,100.0,39.05,23.4994,0.0,0.0,60.0,445.0,536.28,1257.01,1039.67,3.91,5.71,137.88,1915.45,8011.77,0.94,36.55,130.14,2028.33,7875.61,8.3979,0.02,307,1915,84.93,10.34,6.2525,127
34,265,41.9997,0.84,100.0,445.0,550.77,1364.86,1144.22,3.91,5.72,138.46,2212.69,8370.77,1.02,42.55,130.36,2388.86,8133.94,9.424,0.02,334,2212,100.0,10.36,6.3982,42.0078,0.842,100.0,518.67,643.6,1605.27,1430.52,14.62,21.61,554.1,2388.2,9114.1,1.3,48.11,521.68,2388.86,8180.17,11.0234,0.03,396,2388,100.0,39.0,23.3737,0.0002,0.0,60.0,445.0,536.16,1254.68,1039.8,3.91,5.71,137.33,1915.08,7993.88,0.94,36.63,129.77,2027.96,7861.18,8.3975,0.02,306,1915,84.93,10.27,6.1716,11
35,59,25.0028,0.62,60.0,462.54,536.45,1253.43,1042.76,7.05,9.02,176.7,1915.45,8015.89,0.94,36.43,165.1,2028.27,7876.17,10.8245,0.02,305,1915,84.93,14.42,8.5863,42.007,0.842,100.0,518.67,642.61,1589.8,1404.57,14.62,21.61,557.48,2388.12,9065.91,1.3,47.39,524.86,2388.25,8151.63,10.8451,0.03,393,2388,100.0,39.34,23.5464,0.0004,0.0,60.0,445.0,535.97,1251.57,1038.87,3.91,5.71,138.54,1915.39,8005.84,0.94,36.43,130.85,2028.23,7871.73,8.3354,0.02,304,1915,84.93,10.58,6.3436,162
36,38,10.0039,0.2504,100.0,489.05,604.48,1501.01,1319.99,10.52,15.49,394.64,2318.98,8769.26,1.26,45.56,371.73,2388.19,8114.59,8.6895,0.03,369,2319,100.0,28.36,17.1787,42.0073,0.842,100.0,518.67,643.21,1595.33,1418.28,14.62,21.61,553.82,2388.16,9042.55,1.3,47.83,521.97,2388.21,8123.8,10.9419,0.03,394,2388,100.0,39.08,23.3881,0.0003,0.0,60.0,445.0,536.12,1257.76,1047.25,3.91,5.71,138.34,1915.06,7995.97,0.94,36.67,130.16,2027.97,7859.55,8.4243,0.02,306,1915,84.93,10.57,6.2679,105
